variable_name,variable_name_in_database,bican_uuid,short_name,full_name,value_type,parent_id,parent_name,resource_category,parent_id,min,max,numeric_type,step,unit,dependent_name,options
,,,Slab,Slab,,,,,,,,,,,,
local_slab_id,local_slab_id,,Local Slab ID,Local Slab ID,text,,Slab,Slab,,,,,,,,
slab_nhash_id,study_id,,Slab NHash ID,NHash Slab ID,text,,Slab,Slab,,,,,,,,
width,width,,Wdith,Wdith,numeric,,Slab,Slab,,,,,,,,
height,height,,Height,Height,numeric,,Slab,Slab,,,,,,,,
pixels_per_mm,pixels_per_mm,,Pixels per mm,Pixels per mm,numeric,,Slab,Slab,,,,,,,,
